Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolation_source,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR21833439,AMPLICON,500,8009000,PRJNA887535,SAMN31171297,Metagenome or environmental,4586064,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822883,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023329,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma315,SRP401402
SRR21833440,AMPLICON,500,7972500,PRJNA887535,SAMN31171296,Metagenome or environmental,4673532,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822882,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023328,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma314,SRP401402
SRR21833441,AMPLICON,500,7414000,PRJNA887535,SAMN31171295,Metagenome or environmental,4423665,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX17822881,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023327,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma313,SRP401402
SRR21833442,AMPLICON,500,4216000,PRJNA887535,SAMN31171294,Metagenome or environmental,2634328,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX17822880,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023326,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma312,SRP401402
SRR21833443,AMPLICON,500,11012500,PRJNA887535,SAMN31171293,Metagenome or environmental,6377388,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822879,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023325,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma311,SRP401402
SRR21833444,AMPLICON,500,12011000,PRJNA887535,SAMN31171292,Metagenome or environmental,7427863,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822878,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023324,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma310,SRP401402
SRR21833445,AMPLICON,502,11010366,PRJNA887535,SAMN31171013,Metagenome or environmental,6595595,"UNIVERSITY OF NEVADA, RENO",2017,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822877,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S010442,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma31,SRP401402
SRR21833446,AMPLICON,500,8788500,PRJNA887535,SAMN31171291,Metagenome or environmental,5294509,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822876,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023323,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma309,SRP401402
SRR21833447,AMPLICON,500,9618500,PRJNA887535,SAMN31171290,Metagenome or environmental,5636038,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822875,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023307,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma308,SRP401402
SRR21833448,AMPLICON,500,7037000,PRJNA887535,SAMN31171289,Metagenome or environmental,4031761,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822874,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023306,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma307,SRP401402
SRR21833449,AMPLICON,500,7573500,PRJNA887535,SAMN31171288,Metagenome or environmental,4530346,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822873,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023304,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma306,SRP401402
SRR21833450,AMPLICON,500,5451000,PRJNA887535,SAMN31171287,Metagenome or environmental,3288033,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822872,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023303,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma305,SRP401402
SRR21833451,AMPLICON,500,7432500,PRJNA887535,SAMN31171286,Metagenome or environmental,4370899,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822871,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023302,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:38:00Z,1,Neotoma304,SRP401402
SRR21833452,AMPLICON,500,9129500,PRJNA887535,SAMN31171285,Metagenome or environmental,5213188,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822870,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023291,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma303,SRP401402
SRR21833453,AMPLICON,500,6026500,PRJNA887535,SAMN31171284,Metagenome or environmental,3670640,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","gs.US,s3.us-east-1",SRX17822869,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023289,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma302,SRP401402
SRR21833454,AMPLICON,500,7667500,PRJNA887535,SAMN31171283,Metagenome or environmental,4745027,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822868,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023288,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma301,SRP401402
SRR21833455,AMPLICON,500,6370500,PRJNA887535,SAMN31171282,Metagenome or environmental,3866323,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822867,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S023287,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma300,SRP401402
SRR21833456,AMPLICON,502,12510844,PRJNA887535,SAMN31171012,Metagenome or environmental,7677200,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822866,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S010441,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma30,SRP401402
SRR21833457,AMPLICON,500,4087000,PRJNA887535,SAMN31170985,Metagenome or environmental,2504140,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX17822865,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S010402,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma3,SRP401402
SRR21833458,AMPLICON,502,4974820,PRJNA887535,SAMN31171281,Metagenome or environmental,3385429,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822864,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019795,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma299,SRP401402
SRR21833459,AMPLICON,502,4676130,PRJNA887535,SAMN31171280,Metagenome or environmental,3193916,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX17822863,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019794,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma298,SRP401402
SRR21833460,AMPLICON,502,4391998,PRJNA887535,SAMN31171279,Metagenome or environmental,3035748,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822862,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019793,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:38:00Z,1,Neotoma297,SRP401402
SRR21833461,AMPLICON,502,5839766,PRJNA887535,SAMN31171249,Metagenome or environmental,3950491,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822861,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019763,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma267,SRP401402
SRR21833462,AMPLICON,502,5532542,PRJNA887535,SAMN31171248,Metagenome or environmental,3884060,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822860,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019762,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma266,SRP401402
SRR21833463,AMPLICON,502,5912054,PRJNA887535,SAMN31171247,Metagenome or environmental,3996498,"UNIVERSITY OF NEVADA, RENO",2016,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX17822859,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019761,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma265,SRP401402
SRR21833464,AMPLICON,502,6252912,PRJNA887535,SAMN31171246,Metagenome or environmental,4202670,"UNIVERSITY OF NEVADA, RENO",2016,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822858,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019760,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma264,SRP401402
SRR21833465,AMPLICON,502,3146034,PRJNA887535,SAMN31171245,Metagenome or environmental,2203588,"UNIVERSITY OF NEVADA, RENO",2017,public,"fastq,sra","s3,gs","gs.US,s3.us-east-1",SRX17822857,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019759,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma263,SRP401402
SRR21833466,AMPLICON,502,3704258,PRJNA887535,SAMN31171244,Metagenome or environmental,2573958,"UNIVERSITY OF NEVADA, RENO",2019,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822856,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019758,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma262,SRP401402
SRR21833467,AMPLICON,502,3039610,PRJNA887535,SAMN31171243,Metagenome or environmental,2151876,"UNIVERSITY OF NEVADA, RENO",2019,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822855,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019757,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma261,SRP401402
SRR21833468,AMPLICON,502,4506956,PRJNA887535,SAMN31171242,Metagenome or environmental,3088862,"UNIVERSITY OF NEVADA, RENO",2019,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822854,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019756,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma260,SRP401402
SRR21833469,AMPLICON,502,15919424,PRJNA887535,SAMN31171008,Metagenome or environmental,9350027,"UNIVERSITY OF NEVADA, RENO",2018,public,"sra,fastq","gs,s3","gs.US,s3.us-east-1",SRX17822853,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S010437,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:38:00Z,1,Neotoma26,SRP401402
SRR21833470,AMPLICON,502,5657540,PRJNA887535,SAMN31171241,Metagenome or environmental,3858363,"UNIVERSITY OF NEVADA, RENO",2019,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822852,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019755,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma259,SRP401402
SRR21833471,AMPLICON,502,2969832,PRJNA887535,SAMN31171240,Metagenome or environmental,2043735,"UNIVERSITY OF NEVADA, RENO",2019,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822851,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019754,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma258,SRP401402
SRR21833472,AMPLICON,502,5932636,PRJNA887535,SAMN31171239,Metagenome or environmental,4024493,"UNIVERSITY OF NEVADA, RENO",2019,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX17822850,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019753,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma257,SRP401402
SRR21833473,AMPLICON,502,7371368,PRJNA887535,SAMN31171238,Metagenome or environmental,4959804,"UNIVERSITY OF NEVADA, RENO",2019,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX17822849,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019752,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma256,SRP401402
SRR21833474,AMPLICON,502,8115834,PRJNA887535,SAMN31171237,Metagenome or environmental,5513420,"UNIVERSITY OF NEVADA, RENO",2019,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822848,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019751,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:38:00Z,1,Neotoma255,SRP401402
SRR21833475,AMPLICON,502,6309136,PRJNA887535,SAMN31171236,Metagenome or environmental,4201381,"UNIVERSITY OF NEVADA, RENO",2019,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822847,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019750,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma254,SRP401402
SRR21833476,AMPLICON,502,4286578,PRJNA887535,SAMN31171235,Metagenome or environmental,2952360,"UNIVERSITY OF NEVADA, RENO",2019,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822846,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019749,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma253,SRP401402
SRR21833477,AMPLICON,502,4513482,PRJNA887535,SAMN31171234,Metagenome or environmental,3092750,"UNIVERSITY OF NEVADA, RENO",2019,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822845,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019748,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma252,SRP401402
SRR21833478,AMPLICON,502,2637508,PRJNA887535,SAMN31171233,Metagenome or environmental,1841155,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX17822844,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019747,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma251,SRP401402
SRR21833479,AMPLICON,502,4053148,PRJNA887535,SAMN31171232,Metagenome or environmental,2749346,"UNIVERSITY OF NEVADA, RENO",2018,public,"sra,fastq","s3,gs","s3.us-east-1,gs.US",SRX17822843,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019746,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma250,SRP401402
SRR21833480,AMPLICON,502,10582662,PRJNA887535,SAMN31171007,Metagenome or environmental,6141574,"UNIVERSITY OF NEVADA, RENO",2018,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822842,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S010436,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma25,SRP401402
SRR21833481,AMPLICON,502,5302124,PRJNA887535,SAMN31171231,Metagenome or environmental,3589162,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822841,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019745,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma249,SRP401402
SRR21833482,AMPLICON,502,3629962,PRJNA887535,SAMN31171230,Metagenome or environmental,2543920,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","s3,gs","s3.us-east-1,gs.US",SRX17822840,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019744,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma248,SRP401402
SRR21833483,AMPLICON,502,5238370,PRJNA887535,SAMN31171229,Metagenome or environmental,3526695,"UNIVERSITY OF NEVADA, RENO",2018,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822839,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019743,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma247,SRP401402
SRR21833484,AMPLICON,502,6841758,PRJNA887535,SAMN31171228,Metagenome or environmental,4511913,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","gs,s3","s3.us-east-1,gs.US",SRX17822838,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019742,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma246,SRP401402
SRR21833485,AMPLICON,502,2540622,PRJNA887535,SAMN31171227,Metagenome or environmental,1770870,"UNIVERSITY OF NEVADA, RENO",2018,public,"sra,fastq","gs,s3","s3.us-east-1,gs.US",SRX17822837,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019741,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma245,SRP401402
SRR21833486,AMPLICON,502,5583244,PRJNA887535,SAMN31171226,Metagenome or environmental,3797942,"UNIVERSITY OF NEVADA, RENO",2018,public,"fastq,sra","gs,s3","gs.US,s3.us-east-1",SRX17822836,USA,North America,USA: CA,Illumina MiSeq,feces,35.429533 N 118.249937 W,S019740,PAIRED,PCR,METAGENOMIC,gut metagenome,ILLUMINA,2022-10-06T00:00:00Z,2022-10-06T17:37:00Z,1,Neotoma244,SRP401402
